id,original_title,release_date,title,vote_average,combination
862,Toy Story,1995-10-30,Toy Story,7.7,jealousi toy boy friendship friend rivalri boynextdoor newtoy toycomestolif tomhanks timallen donrickles johnlasseter johnlasseter Animation Comedy Family
8844,Jumanji,1995-12-15,Jumanji,6.9,boardgam disappear basedonchildren'sbook newhom reclus giantinsect robinwilliams jonathanhyde kirstendunst joejohnston joejohnston Adventure Fantasy Family
15602,Grumpier Old Men,1995-12-22,Grumpier Old Men,6.5,fish bestfriend duringcreditssting waltermatthau jacklemmon ann-margret howarddeutch howarddeutch Romance Comedy
31357,Waiting to Exhale,1995-12-22,Waiting to Exhale,6.1,basedonnovel interracialrelationship singlemoth divorc chickflick whitneyhouston angelabassett lorettadevine forestwhitaker forestwhitaker Comedy Drama Romance
11862,Father of the Bride Part II,1995-02-10,Father of the Bride Part II,5.7,babi midlifecrisi confid age daughter motherdaughterrelationship pregnanc contracept gynecologist stevemartin dianekeaton martinshort charlesshyer charlesshyer Comedy
949,Heat,1995-12-15,Heat,7.7,robberi detect bank obsess chase shoot thief honor murder suspens heist betray money gang catandmous criminalmastermind cultfilm ex-con heistmovi onelastjob loner neo-noir gunfight crimeep alpacino robertdeniro valkilmer michaelmann michaelmann Action Crime Drama Thriller
11860,Sabrina,1995-12-15,Sabrina,6.2,pari brotherbrotherrelationship chauffeur longisland millionair harrisonford juliaormond gregkinnear sydneypollack sydneypollack Comedy Romance
45325,Tom and Huck,1995-12-22,Tom and Huck,5.4,jonathantaylorthomas bradrenfro rachaelleighcook peterhewitt peterhewitt Action Adventure Drama Family
9091,Sudden Death,1995-12-22,Sudden Death,5.5,terrorist hostag explos vicepresid jean-claudevandamme powersboothe dorianharewood peterhyams peterhyams Action Adventure Thriller
710,GoldenEye,1995-11-16,GoldenEye,6.6,cuba falselyaccus secretident computervirus secretbas secretintelligenceservic kgb satellit specialcar cossack timebomb st.petersburgrussia ejectionseat redarmi piercebrosnan seanbean izabellascorupco martincampbell martincampbell Adventure Action Thriller
9087,The American President,1995-11-17,The American President,6.5,whitehous usapresid newlov widow michaeldouglas annettebening michaelj.fox robreiner robreiner Comedy Drama Romance
12110,Dracula: Dead and Loving It,1995-12-22,Dracula: Dead and Loving It,5.7,dracula spoof leslienielsen melbrooks amyyasbeck melbrooks melbrooks Comedy Horror
21032,Balto,1995-12-22,Balto,7.1,wolf alaska dog goos bearattack kevinbacon bobhoskins bridgetfonda simonwells simonwells Family Animation Adventure
10858,Nixon,1995-12-22,Nixon,7.1,usapresid presidentialelect watergatescand biographi govern historicalfigur anthonyhopkins joanallen powersboothe oliverstone oliverstone History Drama
1408,Cutthroat Island,1995-12-22,Cutthroat Island,5.7,exoticisland treasur map ship scalp pirat geenadavis matthewmodine franklangella rennyharlin rennyharlin Action Adventure
524,Casino,1995-11-22,Casino,7.8,poker drugabus 1970s overdos illegalprostitut robertdeniro sharonstone joepesci martinscorsese martinscorsese Drama Crime
4584,Sense and Sensibility,1995-12-13,Sense and Sensibility,7.2,bowl basedonnovel servant countrylif janeausten inherit militaryoffic perioddrama rainstorm horseandcarriag katewinslet emmathompson hughgrant anglee anglee Drama Romance
5,Four Rooms,1995-12-09,Four Rooms,6.5,hotel newyear'sev witch bet hotelroom sperm losangel hoodlum womandirector episodefilm timroth antoniobanderas jenniferbeals allisonanders allisonanders Crime Comedy
9273,Ace Ventura: When Nature Calls,1995-11-10,Ace Ventura: When Nature Calls,6.1,africa indigen humananimalrelationship bat jimcarrey ianmcneice simoncallow steveoedekerk steveoedekerk Crime Comedy Adventure
11517,Money Train,1995-11-21,Money Train,5.4,brotherbrotherrelationship subway newyorkc newyorksubway trainrobberi wesleysnipes woodyharrelson jenniferlopez josephruben josephruben Action Comedy Crime
8012,Get Shorty,1995-10-20,Get Shorty,6.4,gambl miami basedonnovel job murder travel mafia money debt mobster busi hollywood gangster crime violenc drug produc con johntravolta genehackman renerusso barrysonnenfeld barrysonnenfeld Comedy Thriller Crime
1710,Copycat,1995-10-27,Copycat,6.5,policebrut psycholog policeoper policeprotect serialkil psychologist cowardli sigourneyweaver hollyhunter willpatton jonamiel jonamiel Drama Thriller
9691,Assassins,1995-10-06,Assassins,6.0,competit assassin cia bank cat mexicanstandoff seattl hitman missionofmurd hiddencamera rivalri rescu shootout policechas sniperrifl silenc doublecross caribbean detroitmichigan sylvesterstallone antoniobanderas juliannemoore richarddonner richarddonner Action Adventure Crime Thriller
